iter	Passed	Remaining
0	2	210
1	3	191
2	5	181
3	6	164
4	8	164
5	10	164
6	12	162
7	13	160
8	15	157
9	17	156
10	19	154
11	20	151
12	22	149
13	24	147
14	25	145
15	27	143
16	29	143
17	30	141
18	32	139
19	34	137
20	36	135
21	37	133
22	39	131
23	41	130
24	42	128
25	44	126
26	46	124
27	47	123
28	49	121
29	51	119
30	53	118
31	54	116
32	56	114
33	58	112
34	59	111
35	61	109
36	63	107
37	64	105
38	66	104
39	68	102
40	70	101
41	71	98
42	72	96
43	74	94
44	76	93
45	77	91
46	79	89
47	81	88
48	83	86
49	84	84
50	86	83
51	88	81
52	90	79
53	91	78
54	92	75
55	94	74
56	96	72
57	98	71
58	100	69
59	101	67
60	103	66
61	105	64
62	107	63
63	109	61
64	111	59
65	113	58
66	114	56
67	116	55
68	118	53
69	120	51
70	122	49
71	124	48
72	125	46
73	127	44
74	129	43
75	131	41
76	133	39
77	135	38
78	137	36
79	139	34
80	141	33
81	142	31
82	144	29
83	146	27
84	148	26
85	149	24
86	151	22
87	153	20
88	155	19
89	157	17
90	158	15
91	160	13
92	162	12
93	164	10
94	165	8
95	167	6
96	169	5
97	170	3
98	172	1
99	174	0
